BINARY POLYHEDRAL GROUPS ATLAS
================================================================================
Verified via Conway & Smith (2003) generator theorem.
Four synthesis strategies (2×2 grid):
  BFS SU(2):      min depth, exact SU(2) match.
  Dijkstra SU(2): min magic cost then depth, exact SU(2) match.
  BFS PU(2):      min depth, matching up to global phase.
  Dijkstra PU(2): min magic cost then depth, matching up to global phase.
Phase φ: a word read in the standard gates equals φ · U_q, the row's unitary, with ω = e^(iπ/4) a primitive 8th root of unity.

CONVENTIONS:
Gate sequences are in operator order (left to right): F X means F · X.
In circuit notation this corresponds to applying X first, then F.
F = HS† is included as a named generator for uniformity across the three groups.
For 2O, it is algebraically redundant with H and S.

NOTE ON SU(2) REPRESENTATION:
Each standard gate G is symmetrized as G_SU(2) = phase · G_U(2) to ensure det = 1.
The dagger (†) denotes the algebraic inverse in this SU(2) representation.
For Hermitian gates (X, Z, H): G† physically means applying G with a global -1 phase.

NOTE ON THE φ COLUMNS:
φ belongs to a word, not to an element: it collects the symmetrization scalars above and
the ± recording which member of the pair the word landed on.
Both φ columns here are the PU(2) words' -- the columns they sit in. One PU(2) word serves
both rows of a pair (the b-row's word cell is a ditto mark), so its φ reads φ on the a-row
and -φ on the b-row, on all 96 pairs.
atlas.tex prints the SU(2) min-magic words' phases instead: same definition, different word, so the
two files disagree on the b-rows of the 12 pairs (min magic) whose own two SU(2) words are not
one U(2) operator -- and would on 19 pairs under min depth, a block atlas.tex does not print:
this file is the home of the min-depth SU(2) words (Appendix A reprints one 2I pair).
Use the φ printed beside the word you actually run.

Rows are grouped in antipodal pairs (q, -q) to show the SU(2) double cover, the BFS-shallower member as the a-row.
The PU(2) word is printed once per pair (the b-row shows a ditto mark): both elements are one PU(2) element, i.e. one SO(3) rotation.
Pairs are ordered by magic cost, then depth, then the word -- the order of atlas.tex.

NOTE ON DIJKSTRA vs BFS:
For 2I, Dijkstra may prefer longer Clifford-heavy sequences over shorter ones
containing multiple Φ gates, reflecting the high cost of non-Clifford resources
in fault-tolerant quantum computing.


##################################################################################################################################################################################################################################################################################################
GROUP: Binary Tetrahedral Group 2T (Order 24, 12 antipodal pairs)
##################################################################################################################################################################################################################################################################################################
Idx  | BFS SU(2)                 | Dep | Dij SU(2)                 | Mag | Dep | BFS PU(2)                 | Dep | φ      | Dij PU(2)                 | Mag | Dep | φ      | Quaternion                                         | Unitary
7  a | F† Z                      | 2   | F† Z                      | 0   | 2   | F† Z                      | 2   | ω      | F† Z                      | 0   | 2   | ω      | [1/2, -1/2, -1/2, 1/2]                             | [[1/2-i/2, -1/2+i/2], [1/2+i/2, 1/2+i/2]]
7  b | F† Z†                     | 2   | F† Z†                     | 0   | 2   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-1/2, 1/2, 1/2, -1/2]                             | [[-1/2+i/2, 1/2-i/2], [-1/2-i/2, -1/2-i/2]]

8  a | X F                       | 2   | X F                       | 0   | 2   | X F                       | 2   | ω^3    | X F                       | 0   | 2   | ω^3    | [-1/2, -1/2, 1/2, -1/2]                            | [[-1/2-i/2, 1/2-i/2], [-1/2-i/2, -1/2+i/2]]
8  b | X† F                      | 2   | X† F                      | 0   | 2   | "                         | "   | ω^-1   | "                         | "   | "   | ω^-1   | [1/2, 1/2, -1/2, 1/2]                              | [[1/2+i/2, -1/2+i/2], [1/2+i/2, 1/2-i/2]]

9  a | X F†                      | 2   | X F†                      | 0   | 2   | X F†                      | 2   | ω      | X F†                      | 0   | 2   | ω      | [1/2, 1/2, -1/2, -1/2]                             | [[1/2+i/2, -1/2-i/2], [1/2-i/2, 1/2-i/2]]
9  b | X† F†                     | 2   | X† F†                     | 0   | 2   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-1/2, -1/2, 1/2, 1/2]                             | [[-1/2-i/2, 1/2+i/2], [-1/2+i/2, -1/2+i/2]]

10 a | X Z                       | 2   | X Z                       | 0   | 2   | X Z                       | 2   | -1     | X Z                       | 0   | 2   | -1     | [0, 0, 1, 0]                                       | [[0, 1], [-1, 0]]
10 b | X Z†                      | 2   | X Z†                      | 0   | 2   | "                         | "   | 1      | "                         | "   | "   | 1      | [0, 0, -1, 0]                                      | [[0, -1], [1, 0]]

11 a | Z F                       | 2   | Z F                       | 0   | 2   | Z F                       | 2   | ω^3    | Z F                       | 0   | 2   | ω^3    | [-1/2, -1/2, -1/2, 1/2]                            | [[-1/2-i/2, -1/2+i/2], [1/2+i/2, -1/2+i/2]]
11 b | Z† F                      | 2   | Z† F                      | 0   | 2   | "                         | "   | ω^-1   | "                         | "   | "   | ω^-1   | [1/2, 1/2, 1/2, -1/2]                              | [[1/2+i/2, 1/2-i/2], [-1/2-i/2, 1/2-i/2]]

12 a | Z F†                      | 2   | Z F†                      | 0   | 2   | Z F†                      | 2   | ω      | Z F†                      | 0   | 2   | ω      | [1/2, -1/2, 1/2, -1/2]                             | [[1/2-i/2, 1/2-i/2], [-1/2-i/2, 1/2+i/2]]
12 b | Z† F†                     | 2   | Z† F†                     | 0   | 2   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-1/2, 1/2, -1/2, 1/2]                             | [[-1/2+i/2, -1/2+i/2], [1/2+i/2, -1/2-i/2]]


##################################################################################################################################################################################################################################################################################################
GROUP: Binary Octahedral Group 2O (Order 48, 24 antipodal pairs)
##################################################################################################################################################################################################################################################################################################
Idx  | BFS SU(2)                 | Dep | Dij SU(2)                 | Mag | Dep | BFS PU(2)                 | Dep | φ      | Dij PU(2)                 | Mag | Dep | φ      | Quaternion                                         | Unitary
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1  a | I                         | 0   | I                         | 0   | 0   | I                         | 0   | 1      | I                         | 0   | 0   | 1      | [1, 0, 0, 0]                                       | [[1, 0], [0, 1]]
1  b | X X                       | 2   | X X                       | 0   | 2   | "                         | "   | -1     | "                         | "   | "   | -1     | [-1, 0, 0, 0]                                      | [[-1, 0], [0, -1]]

2  a | F                         | 1   | F                         | 0   | 1   | F                         | 1   | ω      | F                         | 0   | 1   | ω      | [1/2, -1/2, -1/2, -1/2]                            | [[1/2-i/2, -1/2-i/2], [1/2-i/2, 1/2+i/2]]
2  b | F† F†                     | 2   | F† F†                     | 0   | 2   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-1/2, 1/2, 1/2, 1/2]                              | [[-1/2+i/2, 1/2+i/2], [-1/2+i/2, -1/2-i/2]]

3  a | F†                        | 1   | F†                        | 0   | 1   | F†                        | 1   | ω^-1   | F†                        | 0   | 1   | ω^-1   | [1/2, 1/2, 1/2, 1/2]                               | [[1/2+i/2, 1/2+i/2], [-1/2+i/2, 1/2-i/2]]
3  b | F F                       | 2   | F F                       | 0   | 2   | "                         | "   | ω^3    | "                         | "   | "   | ω^3    | [-1/2, -1/2, -1/2, -1/2]                           | [[-1/2-i/2, -1/2-i/2], [1/2-i/2, -1/2+i/2]]

4  a | H                         | 1   | H                         | 0   | 1   | H                         | 1   | ω^2    | H                         | 0   | 1   | ω^2    | [0, -√2/2, 0, -√2/2]                               | [[-√2*i/2, -√2*i/2], [-√2*i/2, √2*i/2]]
4  b | H†                        | 1   | H†                        | 0   | 1   | "                         | "   | ω^-2   | "                         | "   | "   | ω^-2   | [0, √2/2, 0, √2/2]                                 | [[√2*i/2, √2*i/2], [√2*i/2, -√2*i/2]]

5  a | S                         | 1   | S                         | 0   | 1   | S                         | 1   | ω      | S                         | 0   | 1   | ω      | [√2/2, -√2/2, 0, 0]                                | [[√2/2-√2*i/2, 0], [0, √2/2+√2*i/2]]
5  b | Z† S†                     | 2   | Z† S†                     | 0   | 2   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-√2/2, √2/2, 0, 0]                                | [[-√2/2+√2*i/2, 0], [0, -√2/2-√2*i/2]]

6  a | S†                        | 1   | S†                        | 0   | 1   | S†                        | 1   | ω^-1   | S†                        | 0   | 1   | ω^-1   | [√2/2, √2/2, 0, 0]                                 | [[√2/2+√2*i/2, 0], [0, √2/2-√2*i/2]]
6  b | Z S                       | 2   | Z S                       | 0   | 2   | "                         | "   | ω^3    | "                         | "   | "   | ω^3    | [-√2/2, -√2/2, 0, 0]                               | [[-√2/2-√2*i/2, 0], [0, -√2/2+√2*i/2]]

7  a | X                         | 1   | X                         | 0   | 1   | X                         | 1   | ω^2    | X                         | 0   | 1   | ω^2    | [0, 0, 0, -1]                                      | [[0, -i], [-i, 0]]
7  b | X†                        | 1   | X†                        | 0   | 1   | "                         | "   | ω^-2   | "                         | "   | "   | ω^-2   | [0, 0, 0, 1]                                       | [[0, i], [i, 0]]

8  a | Z                         | 1   | Z                         | 0   | 1   | Z                         | 1   | ω^2    | Z                         | 0   | 1   | ω^2    | [0, -1, 0, 0]                                      | [[-i, 0], [0, i]]
8  b | Z†                        | 1   | Z†                        | 0   | 1   | "                         | "   | ω^-2   | "                         | "   | "   | ω^-2   | [0, 1, 0, 0]                                       | [[i, 0], [0, -i]]

9  a | F H                       | 2   | F H                       | 0   | 2   | F H                       | 2   | ω^3    | F H                       | 0   | 2   | ω^3    | [-√2/2, 0, 0, -√2/2]                               | [[-√2/2, -√2*i/2], [-√2*i/2, -√2/2]]
9  b | F H†                      | 2   | F H†                      | 0   | 2   | "                         | "   | ω^-1   | "                         | "   | "   | ω^-1   | [√2/2, 0, 0, √2/2]                                 | [[√2/2, √2*i/2], [√2*i/2, √2/2]]

10 a | F X                       | 2   | F X                       | 0   | 2   | F X                       | 2   | ω^3    | F X                       | 0   | 2   | ω^3    | [-1/2, 1/2, -1/2, -1/2]                            | [[-1/2+i/2, -1/2-i/2], [1/2-i/2, -1/2-i/2]]
10 b | F X†                      | 2   | F X†                      | 0   | 2   | "                         | "   | ω^-1   | "                         | "   | "   | ω^-1   | [1/2, -1/2, 1/2, 1/2]                              | [[1/2-i/2, 1/2+i/2], [-1/2+i/2, 1/2+i/2]]

11 a | F† S†                     | 2   | F† S†                     | 0   | 2   | F† S†                     | 2   | ω^-2   | F† S†                     | 0   | 2   | ω^-2   | [0, √2/2, √2/2, 0]                                 | [[√2*i/2, √2/2], [-√2/2, -√2*i/2]]
11 b | S F                       | 2   | S F                       | 0   | 2   | "                         | "   | ω^2    | "                         | "   | "   | ω^2    | [0, -√2/2, -√2/2, 0]                               | [[-√2*i/2, -√2/2], [√2/2, √2*i/2]]

12 a | F† Z                      | 2   | F† Z                      | 0   | 2   | F† Z                      | 2   | ω      | F† Z                      | 0   | 2   | ω      | [1/2, -1/2, -1/2, 1/2]                             | [[1/2-i/2, -1/2+i/2], [1/2+i/2, 1/2+i/2]]
12 b | F† Z†                     | 2   | F† Z†                     | 0   | 2   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-1/2, 1/2, 1/2, -1/2]                             | [[-1/2+i/2, 1/2-i/2], [-1/2-i/2, -1/2-i/2]]

13 a | H F†                      | 2   | H F†                      | 0   | 2   | H F†                      | 2   | ω      | H F†                      | 0   | 2   | ω      | [√2/2, 0, 0, -√2/2]                                | [[√2/2, -√2*i/2], [-√2*i/2, √2/2]]
13 b | H† F†                     | 2   | H† F†                     | 0   | 2   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-√2/2, 0, 0, √2/2]                                | [[-√2/2, √2*i/2], [√2*i/2, -√2/2]]

14 a | X F                       | 2   | X F                       | 0   | 2   | X F                       | 2   | ω^3    | X F                       | 0   | 2   | ω^3    | [-1/2, -1/2, 1/2, -1/2]                            | [[-1/2-i/2, 1/2-i/2], [-1/2-i/2, -1/2+i/2]]
14 b | X† F                      | 2   | X† F                      | 0   | 2   | "                         | "   | ω^-1   | "                         | "   | "   | ω^-1   | [1/2, 1/2, -1/2, 1/2]                              | [[1/2+i/2, -1/2+i/2], [1/2+i/2, 1/2-i/2]]

15 a | X F†                      | 2   | X F†                      | 0   | 2   | X F†                      | 2   | ω      | X F†                      | 0   | 2   | ω      | [1/2, 1/2, -1/2, -1/2]                             | [[1/2+i/2, -1/2-i/2], [1/2-i/2, 1/2-i/2]]
15 b | X† F†                     | 2   | X† F†                     | 0   | 2   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-1/2, -1/2, 1/2, 1/2]                             | [[-1/2-i/2, 1/2+i/2], [-1/2+i/2, -1/2+i/2]]

16 a | X H                       | 2   | X H                       | 0   | 2   | X H                       | 2   | -1     | X H                       | 0   | 2   | -1     | [-√2/2, 0, √2/2, 0]                                | [[-√2/2, √2/2], [-√2/2, -√2/2]]
16 b | X H†                      | 2   | X H†                      | 0   | 2   | "                         | "   | 1      | "                         | "   | "   | 1      | [√2/2, 0, -√2/2, 0]                                | [[√2/2, -√2/2], [√2/2, √2/2]]

17 a | X S                       | 2   | X S                       | 0   | 2   | X S                       | 2   | ω^3    | X S                       | 0   | 2   | ω^3    | [0, 0, √2/2, -√2/2]                                | [[0, √2/2-√2*i/2], [-√2/2-√2*i/2, 0]]
17 b | X† S                      | 2   | X† S                      | 0   | 2   | "                         | "   | ω^-1   | "                         | "   | "   | ω^-1   | [0, 0, -√2/2, √2/2]                                | [[0, -√2/2+√2*i/2], [√2/2+√2*i/2, 0]]

18 a | X S†                      | 2   | X S†                      | 0   | 2   | X S†                      | 2   | ω      | X S†                      | 0   | 2   | ω      | [0, 0, -√2/2, -√2/2]                               | [[0, -√2/2-√2*i/2], [√2/2-√2*i/2, 0]]
18 b | X† S†                     | 2   | X† S†                     | 0   | 2   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [0, 0, √2/2, √2/2]                                 | [[0, √2/2+√2*i/2], [-√2/2+√2*i/2, 0]]

19 a | X Z                       | 2   | X Z                       | 0   | 2   | X Z                       | 2   | -1     | X Z                       | 0   | 2   | -1     | [0, 0, 1, 0]                                       | [[0, 1], [-1, 0]]
19 b | X Z†                      | 2   | X Z†                      | 0   | 2   | "                         | "   | 1      | "                         | "   | "   | 1      | [0, 0, -1, 0]                                      | [[0, -1], [1, 0]]

20 a | Z F                       | 2   | Z F                       | 0   | 2   | Z F                       | 2   | ω^3    | Z F                       | 0   | 2   | ω^3    | [-1/2, -1/2, -1/2, 1/2]                            | [[-1/2-i/2, -1/2+i/2], [1/2+i/2, -1/2+i/2]]
20 b | Z† F                      | 2   | Z† F                      | 0   | 2   | "                         | "   | ω^-1   | "                         | "   | "   | ω^-1   | [1/2, 1/2, 1/2, -1/2]                              | [[1/2+i/2, 1/2-i/2], [-1/2-i/2, 1/2-i/2]]

21 a | Z F†                      | 2   | Z F†                      | 0   | 2   | Z F†                      | 2   | ω      | Z F†                      | 0   | 2   | ω      | [1/2, -1/2, 1/2, -1/2]                             | [[1/2-i/2, 1/2-i/2], [-1/2-i/2, 1/2+i/2]]
21 b | Z† F†                     | 2   | Z† F†                     | 0   | 2   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-1/2, 1/2, -1/2, 1/2]                             | [[-1/2+i/2, -1/2+i/2], [1/2+i/2, -1/2-i/2]]

22 a | Z H                       | 2   | Z H                       | 0   | 2   | Z H                       | 2   | -1     | Z H                       | 0   | 2   | -1     | [-√2/2, 0, -√2/2, 0]                               | [[-√2/2, -√2/2], [√2/2, -√2/2]]
22 b | Z H†                      | 2   | Z H†                      | 0   | 2   | "                         | "   | 1      | "                         | "   | "   | 1      | [√2/2, 0, √2/2, 0]                                 | [[√2/2, √2/2], [-√2/2, √2/2]]

23 a | X F† S†                   | 3   | X F† S†                   | 0   | 3   | X F† S†                   | 3   | 1      | X F† S†                   | 0   | 3   | 1      | [0, √2/2, -√2/2, 0]                                | [[√2*i/2, -√2/2], [√2/2, -√2*i/2]]
23 b | X S F                     | 3   | X S F                     | 0   | 3   | "                         | "   | -1     | "                         | "   | "   | -1     | [0, -√2/2, √2/2, 0]                                | [[-√2*i/2, √2/2], [-√2/2, √2*i/2]]

24 a | X Z H                     | 3   | X Z H                     | 0   | 3   | X Z H                     | 3   | ω^-2   | X Z H                     | 0   | 3   | ω^-2   | [0, -√2/2, 0, √2/2]                                | [[-√2*i/2, √2*i/2], [√2*i/2, √2*i/2]]
24 b | X Z H†                    | 3   | X Z H†                    | 0   | 3   | "                         | "   | ω^2    | "                         | "   | "   | ω^2    | [0, √2/2, 0, -√2/2]                                | [[√2*i/2, -√2*i/2], [-√2*i/2, -√2*i/2]]


##################################################################################################################################################################################################################################################################################################
GROUP: Binary Icosahedral Group 2I (Order 120, 60 antipodal pairs)
##################################################################################################################################################################################################################################################################################################
Idx  | BFS SU(2)                 | Dep | Dij SU(2)                 | Mag | Dep | BFS PU(2)                 | Dep | φ      | Dij PU(2)                 | Mag | Dep | φ      | Quaternion                                         | Unitary
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1  a | I                         | 0   | I                         | 0   | 0   | I                         | 0   | 1      | I                         | 0   | 0   | 1      | [1, 0, 0, 0]                                       | [[1, 0], [0, 1]]
1  b | X X                       | 2   | X X                       | 0   | 2   | "                         | "   | -1     | "                         | "   | "   | -1     | [-1, 0, 0, 0]                                      | [[-1, 0], [0, -1]]

2  a | F                         | 1   | F                         | 0   | 1   | F                         | 1   | ω      | F                         | 0   | 1   | ω      | [1/2, -1/2, -1/2, -1/2]                            | [[1/2-i/2, -1/2-i/2], [1/2-i/2, 1/2+i/2]]
2  b | F† F†                     | 2   | F† F†                     | 0   | 2   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-1/2, 1/2, 1/2, 1/2]                              | [[-1/2+i/2, 1/2+i/2], [-1/2+i/2, -1/2-i/2]]

3  a | F†                        | 1   | F†                        | 0   | 1   | F†                        | 1   | ω^-1   | F†                        | 0   | 1   | ω^-1   | [1/2, 1/2, 1/2, 1/2]                               | [[1/2+i/2, 1/2+i/2], [-1/2+i/2, 1/2-i/2]]
3  b | F F                       | 2   | F F                       | 0   | 2   | "                         | "   | ω^3    | "                         | "   | "   | ω^3    | [-1/2, -1/2, -1/2, -1/2]                           | [[-1/2-i/2, -1/2-i/2], [1/2-i/2, -1/2+i/2]]

4  a | X                         | 1   | X                         | 0   | 1   | X                         | 1   | ω^2    | X                         | 0   | 1   | ω^2    | [0, 0, 0, -1]                                      | [[0, -i], [-i, 0]]
4  b | X†                        | 1   | X†                        | 0   | 1   | "                         | "   | ω^-2   | "                         | "   | "   | ω^-2   | [0, 0, 0, 1]                                       | [[0, i], [i, 0]]

5  a | Z                         | 1   | Z                         | 0   | 1   | Z                         | 1   | ω^2    | Z                         | 0   | 1   | ω^2    | [0, -1, 0, 0]                                      | [[-i, 0], [0, i]]
5  b | Z†                        | 1   | Z†                        | 0   | 1   | "                         | "   | ω^-2   | "                         | "   | "   | ω^-2   | [0, 1, 0, 0]                                       | [[i, 0], [0, -i]]

6  a | F X                       | 2   | F X                       | 0   | 2   | F X                       | 2   | ω^3    | F X                       | 0   | 2   | ω^3    | [-1/2, 1/2, -1/2, -1/2]                            | [[-1/2+i/2, -1/2-i/2], [1/2-i/2, -1/2-i/2]]
6  b | F X†                      | 2   | F X†                      | 0   | 2   | "                         | "   | ω^-1   | "                         | "   | "   | ω^-1   | [1/2, -1/2, 1/2, 1/2]                              | [[1/2-i/2, 1/2+i/2], [-1/2+i/2, 1/2+i/2]]

7  a | F† Z                      | 2   | F† Z                      | 0   | 2   | F† Z                      | 2   | ω      | F† Z                      | 0   | 2   | ω      | [1/2, -1/2, -1/2, 1/2]                             | [[1/2-i/2, -1/2+i/2], [1/2+i/2, 1/2+i/2]]
7  b | F† Z†                     | 2   | F† Z†                     | 0   | 2   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-1/2, 1/2, 1/2, -1/2]                             | [[-1/2+i/2, 1/2-i/2], [-1/2-i/2, -1/2-i/2]]

8  a | X F                       | 2   | X F                       | 0   | 2   | X F                       | 2   | ω^3    | X F                       | 0   | 2   | ω^3    | [-1/2, -1/2, 1/2, -1/2]                            | [[-1/2-i/2, 1/2-i/2], [-1/2-i/2, -1/2+i/2]]
8  b | X† F                      | 2   | X† F                      | 0   | 2   | "                         | "   | ω^-1   | "                         | "   | "   | ω^-1   | [1/2, 1/2, -1/2, 1/2]                              | [[1/2+i/2, -1/2+i/2], [1/2+i/2, 1/2-i/2]]

9  a | X F†                      | 2   | X F†                      | 0   | 2   | X F†                      | 2   | ω      | X F†                      | 0   | 2   | ω      | [1/2, 1/2, -1/2, -1/2]                             | [[1/2+i/2, -1/2-i/2], [1/2-i/2, 1/2-i/2]]
9  b | X† F†                     | 2   | X† F†                     | 0   | 2   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-1/2, -1/2, 1/2, 1/2]                             | [[-1/2-i/2, 1/2+i/2], [-1/2+i/2, -1/2+i/2]]

10 a | X Z                       | 2   | X Z                       | 0   | 2   | X Z                       | 2   | -1     | X Z                       | 0   | 2   | -1     | [0, 0, 1, 0]                                       | [[0, 1], [-1, 0]]
10 b | X Z†                      | 2   | X Z†                      | 0   | 2   | "                         | "   | 1      | "                         | "   | "   | 1      | [0, 0, -1, 0]                                      | [[0, -1], [1, 0]]

11 a | Z F                       | 2   | Z F                       | 0   | 2   | Z F                       | 2   | ω^3    | Z F                       | 0   | 2   | ω^3    | [-1/2, -1/2, -1/2, 1/2]                            | [[-1/2-i/2, -1/2+i/2], [1/2+i/2, -1/2+i/2]]
11 b | Z† F                      | 2   | Z† F                      | 0   | 2   | "                         | "   | ω^-1   | "                         | "   | "   | ω^-1   | [1/2, 1/2, 1/2, -1/2]                              | [[1/2+i/2, 1/2-i/2], [-1/2-i/2, 1/2-i/2]]

12 a | Z F†                      | 2   | Z F†                      | 0   | 2   | Z F†                      | 2   | ω      | Z F†                      | 0   | 2   | ω      | [1/2, -1/2, 1/2, -1/2]                             | [[1/2-i/2, 1/2-i/2], [-1/2-i/2, 1/2+i/2]]
12 b | Z† F†                     | 2   | Z† F†                     | 0   | 2   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-1/2, 1/2, -1/2, 1/2]                             | [[-1/2+i/2, -1/2+i/2], [1/2+i/2, -1/2-i/2]]

13 a | Φ                         | 1   | Φ                         | 1   | 1   | Φ                         | 1   | 1      | Φ                         | 1   | 1   | 1      | [τ/2, σ/2, 1/2, 0]                                 | [[i*σ/2+τ/2, 1/2], [-1/2, -i*σ/2+τ/2]]
13 b | X X Φ                     | 3   | X X Φ                     | 1   | 3   | "                         | "   | -1     | "                         | "   | "   | -1     | [-τ/2, -σ/2, -1/2, 0]                              | [[-i*σ/2-τ/2, -1/2], [1/2, i*σ/2-τ/2]]

